date,biomass,fossil_gas_comp,hyd_p_stg,hyd_river,hyd_reser,other,solar,wind_off,wind_on,time_of_day,season,is_covid,is_war,sum_ren,fossil_gas_previous,ren_avg_dif
2022-01-02 00:00:00,387.0,154.0,0.0,520.0,32.0,27.0,0.0,4.0,1933.0,0.0,1.0,0,1,2903.0,746.0,-627.7643856029345
2022-01-02 01:00:00,387.0,154.0,0.0,333.0,42.0,27.0,0.0,3.0,1645.0,0.0,1.0,0,1,2437.0,742.0,-1093.7643856029345
2022-01-02 02:00:00,387.0,153.0,0.0,114.0,34.0,26.0,0.0,3.0,1473.0,0.0,1.0,0,1,2037.0,719.0,-1493.7643856029345
2022-01-02 03:00:00,393.0,155.0,0.0,105.0,38.0,26.0,0.0,2.0,1283.0,0.0,1.0,0,1,1847.0,490.0,-1683.7643856029345
2022-01-02 04:00:00,389.0,155.0,0.0,106.0,38.0,26.0,0.0,2.0,1029.0,0.0,1.0,0,1,1590.0,406.0,-1940.7643856029345
2022-01-02 05:00:00,389.0,177.0,0.0,104.0,43.0,25.0,0.0,1.0,673.0,0.0,1.0,0,1,1235.0,407.0,-2295.7643856029345
2022-01-02 06:00:00,392.0,287.0,0.0,217.0,34.0,26.0,0.0,2.0,510.0,0.0,1.0,0,1,1181.0,408.0,-2349.7643856029345
2022-01-02 07:00:00,386.0,412.0,43.0,307.0,62.0,25.0,1.0,2.0,380.0,0.0,1.0,0,1,1206.0,411.0,-2324.7643856029345
2022-01-02 08:00:00,382.0,510.0,1.0,216.0,54.0,24.0,65.0,2.0,293.0,0.5,1.0,0,1,1037.0,411.0,-2493.7643856029345
2022-01-02 09:00:00,379.0,639.0,0.0,214.0,50.0,25.0,296.0,5.0,258.0,0.5,1.0,0,1,1227.0,409.0,-2303.7643856029345
2022-01-02 10:00:00,383.0,906.0,0.0,167.0,122.0,25.0,485.0,8.0,245.0,0.5,1.0,0,1,1435.0,407.0,-2095.7643856029345
2022-01-02 11:00:00,387.0,978.0,0.0,150.0,115.0,25.0,566.0,9.0,131.0,0.5,1.0,0,1,1383.0,406.0,-2147.7643856029345
2022-01-02 12:00:00,387.0,953.0,0.0,159.0,125.0,25.0,635.0,9.0,107.0,0.5,1.0,0,1,1447.0,404.0,-2083.7643856029345
2022-01-02 13:00:00,387.0,906.0,0.0,145.0,59.0,25.0,650.0,7.0,98.0,0.5,1.0,0,1,1371.0,405.0,-2159.7643856029345
2022-01-02 14:00:00,389.0,952.0,0.0,153.0,24.0,25.0,565.0,5.0,93.0,0.5,1.0,0,1,1254.0,555.0,-2276.7643856029345
2022-01-02 15:00:00,388.0,984.0,0.0,213.0,22.0,26.0,390.0,4.0,72.0,0.5,1.0,0,1,1115.0,827.0,-2415.7643856029345
2022-01-02 16:00:00,385.0,967.0,47.0,533.0,154.0,26.0,125.0,3.0,89.0,0.5,1.0,0,1,1362.0,1074.0,-2168.7643856029345
2022-01-02 17:00:00,388.0,1141.0,1699.0,920.0,431.0,26.0,6.0,2.0,111.0,1.0,1.0,0,1,3583.0,1077.0,52.23561439706555
