time_of_day,season,fossil_gas_previous,ren_avg_dif
0.0,1.0,134.0,1979.2022664835165
0.0,1.0,134.0,1533.2022664835165
0.0,1.0,134.0,1370.2022664835165
0.0,1.0,135.0,1739.2022664835165
0.0,1.0,134.0,1416.2022664835165
0.0,1.0,134.0,1279.2022664835165
0.0,1.0,134.0,1123.2022664835165
0.0,1.0,133.0,772.2022664835163
0.5,1.0,133.0,658.2022664835163
0.5,1.0,137.0,935.2022664835164
0.5,1.0,136.0,1418.2022664835165
0.5,1.0,137.0,2512.2022664835163
0.5,1.0,137.0,2727.2022664835163
0.5,1.0,139.0,2745.2022664835163
0.5,1.0,140.0,2499.2022664835163
0.5,1.0,141.0,2507.2022664835163
0.5,1.0,162.0,2408.2022664835163
1.0,1.0,231.0,3267.2022664835163
1.0,1.0,296.0,4041.202266483516
1.0,1.0,297.0,4071.202266483516
1.0,1.0,298.0,3969.202266483516
1.0,1.0,180.0,3767.202266483516
1.0,1.0,141.0,3167.2022664835163
1.0,1.0,134.0,1649.2022664835165
0.0,1.0,134.0,744.2022664835163
0.0,1.0,135.0,244.20226648351627
0.0,1.0,136.0,145.20226648351627
0.0,1.0,197.0,332.20226648351627
0.0,1.0,380.0,464.2022664835162
0.0,1.0,798.0,679.2022664835163
0.0,1.0,1071.0,783.2022664835163
0.0,1.0,1259.0,1603.2022664835165
0.5,1.0,1369.0,2119.2022664835163
0.5,1.0,1552.0,2121.2022664835163
0.5,1.0,1622.0,1853.2022664835165
0.5,1.0,1403.0,2318.2022664835163
0.5,1.0,1387.0,2503.2022664835163
0.5,1.0,1409.0,2445.2022664835163
0.5,1.0,1413.0,2304.2022664835163
0.5,1.0,1483.0,2239.2022664835163
0.5,1.0,1491.0,2355.2022664835163
1.0,1.0,1570.0,2184.2022664835163
1.0,1.0,1566.0,2349.2022664835163
1.0,1.0,1573.0,2139.2022664835163
1.0,1.0,1571.0,2026.2022664835165
1.0,1.0,1555.0,1871.2022664835165
1.0,1.0,1422.0,1551.2022664835165
1.0,1.0,1177.0,589.2022664835163
0.0,1.0,1097.0,611.2022664835163
0.0,1.0,1109.0,501.2022664835162
0.0,1.0,1099.0,528.2022664835163
0.0,1.0,1106.0,879.2022664835163
0.0,1.0,1159.0,1010.2022664835164
0.0,1.0,1374.0,851.2022664835163
0.0,1.0,1568.0,1480.2022664835165
0.0,1.0,1626.0,2081.2022664835163
0.5,1.0,1727.0,2784.2022664835163
0.5,1.0,1844.0,2139.2022664835163
0.5,1.0,1902.0,1947.2022664835165
0.5,1.0,1998.0,1768.2022664835165
0.5,1.0,2143.0,1819.2022664835165
0.5,1.0,2133.0,1876.2022664835165
0.5,1.0,2024.0,1839.2022664835165
0.5,1.0,2036.0,1511.2022664835165
0.5,1.0,2419.0,1908.2022664835165
1.0,1.0,2591.0,2852.2022664835163
1.0,1.0,2826.0,2569.2022664835163
1.0,1.0,2712.0,2693.2022664835163
1.0,1.0,2659.0,2185.2022664835163
1.0,1.0,2512.0,1483.2022664835165
1.0,1.0,2392.0,1219.2022664835165
1.0,1.0,1940.0,1069.2022664835165
0.0,1.0,1287.0,868.2022664835163
0.0,1.0,1070.0,559.2022664835163
0.0,1.0,1103.0,465.2022664835162
0.0,1.0,1094.0,638.2022664835163
0.0,1.0,1036.0,655.2022664835163
0.0,1.0,1127.0,556.2022664835163
0.0,1.0,1488.0,621.2022664835163
0.0,1.0,1624.0,2537.2022664835163
0.5,1.0,1612.0,2806.2022664835163
0.5,1.0,1609.0,2118.2022664835163
0.5,1.0,1598.0,1844.2022664835165
0.5,1.0,1608.0,857.2022664835163
0.5,1.0,1568.0,764.2022664835163
0.5,1.0,1462.0,1002.2022664835164
0.5,1.0,1455.0,823.2022664835163
0.5,1.0,1459.0,1131.2022664835165
0.5,1.0,1746.0,1734.2022664835165
1.0,1.0,1575.0,3206.2022664835163
1.0,1.0,1567.0,3150.2022664835163
1.0,1.0,1579.0,3271.2022664835163
1.0,1.0,1913.0,3016.2022664835163
1.0,1.0,1734.0,2172.2022664835163
1.0,1.0,1466.0,1381.2022664835165
1.0,1.0,1259.0,1649.2022664835165
0.0,1.0,847.0,1210.2022664835165
0.0,1.0,889.0,1217.2022664835165
0.0,1.0,833.0,1155.2022664835165
0.0,1.0,844.0,1398.2022664835165
0.0,1.0,936.0,1415.2022664835165
0.0,1.0,1338.0,1469.2022664835165
0.0,1.0,1955.0,2209.2022664835163
0.0,1.0,2350.0,2785.2022664835163
0.5,1.0,2735.0,3245.2022664835163
0.5,1.0,2644.0,1918.2022664835165
0.5,1.0,2594.0,1959.2022664835165
0.5,1.0,2690.0,1907.2022664835165
0.5,1.0,2292.0,1689.2022664835165
0.5,1.0,2248.0,1627.2022664835165
0.5,1.0,2247.0,1414.2022664835165
0.5,1.0,2466.0,1143.2022664835165
0.5,1.0,2914.0,1864.2022664835165
1.0,1.0,2946.0,2635.2022664835163
1.0,1.0,3011.0,2653.2022664835163
1.0,1.0,3003.0,2449.2022664835163
1.0,1.0,3116.0,2754.2022664835163
1.0,1.0,2725.0,2094.2022664835163
1.0,1.0,2467.0,878.2022664835163
1.0,1.0,1740.0,794.2022664835163
0.0,1.0,1128.0,656.2022664835163
0.0,1.0,644.0,760.2022664835163
0.0,1.0,404.0,1064.2022664835165
0.0,1.0,405.0,691.2022664835163
0.0,1.0,405.0,1208.2022664835165
0.0,1.0,452.0,953.2022664835164
0.0,1.0,513.0,1446.2022664835165
0.0,1.0,656.0,1752.2022664835165
0.5,1.0,827.0,1986.2022664835165
0.5,1.0,1041.0,2110.2022664835163
0.5,1.0,888.0,2688.2022664835163
0.5,1.0,831.0,2559.2022664835163
0.5,1.0,848.0,2435.2022664835163
0.5,1.0,856.0,2233.2022664835163
0.5,1.0,853.0,1513.2022664835165
0.5,1.0,853.0,1742.2022664835165
0.5,1.0,1079.0,1836.2022664835165
1.0,1.0,1257.0,3002.2022664835163
1.0,1.0,1264.0,3766.202266483516
1.0,1.0,1261.0,3611.202266483516
1.0,1.0,1103.0,3759.202266483516
1.0,1.0,822.0,3549.2022664835163
1.0,1.0,650.0,3473.2022664835163
1.0,1.0,531.0,4144.202266483517
0.0,1.0,254.0,4005.202266483516
0.0,1.0,214.0,3220.2022664835163
0.0,1.0,214.0,3332.2022664835163
0.0,1.0,212.0,3253.2022664835163
0.0,1.0,212.0,3163.2022664835163
0.0,1.0,211.0,3224.2022664835163
0.0,1.0,211.0,3517.2022664835163
0.0,1.0,209.0,3793.202266483516
